holding	"보유, 쥠, 소유권, 들고 있는"
annual consumption	연간 소비량
audit	"회계감사를 하다, 심사하다, 청강하다, 회계감사"
masterpiece	"걸작, 대표작"
impressionism	인상파
pigment	"안료, 색소"
eloquent	"웅변을 잘하는, 유창한"
easel	"이젤, 받침틀"
lullaby	자장가
pitch	"음조, 투구, 경기장, 내던지다"
civic	"시민의, 도시의"
compete	"경쟁하다, 경합하다, 필적하다"
bill	"계산서, 지폐, 법안, 청구서를 보내다, 알리다"
constitute	"구성하다, 설립하다"
ratification	"비준, 추인"
legitimate	"합법적인, 합리적인"
legislation	"법률제정, 법안"
jurisprudence	"법률학, 법리학"
enforce	"실시하다, 집행하다"
court	"법정, 구애하다, 사귀다"
decree	"법령, 판결"
tariff	"관세, 요금표"
arbitrate	"중재하다, 조정하다"
solicitation	"간청, 권유, 교사죄"
attorney	"대리인, 변호사, 검찰총장"
hearing	"청력, 듣기, 공청회"
trial	"공판, 심리, 실험, 시도"
administer	"관리하다, 다스리다"
testify	"증명하다, 증언하다"
amend	"고치다, 개정하다"
saddle	"안장을 얹다, 책임을 지우다, 안장"
sue	"고소하다, 소송을 제기하다"
lawsuit	"소송, 고소"
perjury	위증죄
criminal	"범죄자, 범죄의, 형사상의"
verdict	"평결, 답신"
smuggle	밀수하다
misdemeanor	"경범죄, 못된 짓"
breakthrough	"돌파구, 큰 발전"
optical	"눈의, 빛의, 광학상의"
alteration	"변경, 개조, 변화"
property	"재산, 소유, 부동산, 특성, 소유"
access	"이용하다, 접근하다, 접근"
arc	"호, 원호"
arithmetic	"산수, 연산"
reckon	"세다, 계산하다, 측정하다, ~라고 생각하다"
sector	"부문, 부채꼴"
spherical	"구형의, 둥근, 천체의"
convex	볼록한
perpendicular	"직각을 이루는, 수직선"
aggravate	"악화시키다, 짜증나게 하다"
anatomy	"해부학, 구조, 몸"
disinfect	"살균 소독하다, 바이러스를 제거하다"
influenza	독감
prescription	"처방, 규정, 법규"
limb	"다리, 팔, 날개, 돌출부"
quarantine	"검역, 격리"
chronic	"상습적인, 만성적인"
contagious	전염성의
contamination	"오염, 타락"
vector	"매개자, 벡터, 진로"
decaying	"썩어 가는, 부패하는, 쇠퇴하는"
therapeutic agent	치료제
germ	"세균, 병원균, 새싹, 기원"
circulatory system	순환계
cleaning agent	"청소 약품, 표백제"
foot-and-mouth disease	구제역(가축의 입과 발굽에 생기는 전염병)
spoil	"망치다, 썩히다"
obese	지나치게 살찐
biosafety	생물 안전
sickness	"병, 메스꺼움"
portrayal	"그리기, 묘사, 연기"
anthropology	인류학
silt	"미사, 가는 모래, 막다, 흐르다"
airlift	공수 물자(인원)
unpopular	"인기 없는, 유행하지 않는"
chancellor	"장관, 대법관, 수상"
lifesaver	"수영장 감시원, 인명구조원"
batch	"한 솥, 한 화분, 일괄 묶음"
surge	"치밀어 오름, 급증, 파도처럼 밀려오다"
splendour	"훌륭함, 빛남"
tyrant	"폭군, 전제"
benign	"온화한, 정다운, 친절한"
cottage	"시골집, 작은 집"
profound	"깊은, 심오한, 난해한"
suffocate	"숨을 막다, 질식사하다"
engaged	"약속된, 약혼한, ~에 종사하는"
unusual	"보통이 아닌, 비범한"
clamp	"죄다, 고정시키다, 걸쇠, 집게"
topography	"지형학, 지형도"
cliff	"낭떠러지, 절벽"
altruism	"이타주의, 이타적 행위"
inconspicuous	"눈에 띄지 않는, 뚜렷하지 않은"
epic	"서사시, 서사시적 작품"
cozy	"기분 좋은, 편안한, 아늑한"
decent	"괜찮은, 제대로 된, 품위 있는"
